"ds","y"
"2017-06-19 11:00:00",0.0000
"2017-06-19 12:00:00",0.8310
"2017-06-19 13:00:00",2.2940
"2017-06-19 14:00:00",5.1939
"2017-06-19 15:00:00",7.5831
"2017-06-19 16:00:00",13.4003
"2017-06-19 17:00:00",18.2133
"2017-06-19 18:00:00",25.3116
"2017-06-19 19:00:00",31.1288
"2017-06-19 23:00:00",31.1288
"2017-06-20 11:00:00",35.4138
"2017-06-20 12:00:00",39.0668
"2017-06-20 13:00:00",41.9321
"2017-06-20 15:00:00",43.3172
"2017-06-20 16:00:00",45.1524
"2017-06-20 17:00:00",48.7535
"2017-06-20 18:00:00",49.8269
"2017-06-20 19:00:00",50.8657
"2017-06-20 23:00:00",50.8657
"2017-06-21 11:00:00",52.5364
"2017-06-21 12:00:00",61.2881
"2017-06-21 13:00:00",76.0734
"2017-06-21 15:00:00",79.3889
"2017-06-21 16:00:00",85.3099
"2017-06-21 17:00:00",94.3040
"2017-06-21 18:00:00",100.0000
"2017-06-21 23:00:00",100.0000
"2017-06-22 11:00:00",100.0000
"2017-06-22 23:00:00",100.0000
"2017-06-23 23:00:00",100.0000
"2017-06-24 23:00:00",100.0000
"2017-06-25 23:00:00",100.0000
"2017-06-26 23:00:00",100.0000
"2017-06-27 23:00:00",100.0000
"2017-06-28 23:00:00",100.0000
"2017-06-29 23:00:00",100.0000
"2017-06-30 23:00:00",100.0000
"2017-07-01 23:00:00",100.0000
"2017-07-02 23:00:00",100.0000
"2017-07-03 23:00:00",100.0000
"2017-07-04 23:00:00",100.0000
"2017-07-05 23:00:00",100.0000
"2017-07-06 23:00:00",100.0000
"2017-07-07 23:00:00",100.0000
"2017-07-08 23:00:00",100.0000
"2017-07-09 23:00:00",100.0000
"2017-07-10 23:00:00",100.0000
"2017-07-11 23:00:00",100.0000
"2017-07-12 23:00:00",100.0000
"2017-07-13 23:00:00",100.0000
"2017-07-14 23:00:00",100.0000
"2017-07-15 23:00:00",100.0000
"2017-07-16 23:00:00",100.0000
"2017-07-17 23:00:00",100.0000
"2017-07-18 23:00:00",100.0000
"2017-07-19 23:00:00",100.0000
"2017-07-20 23:00:00",100.0000
"2017-07-21 23:00:00",100.0000
"2017-07-22 23:00:00",100.0000
"2017-07-23 23:00:00",100.0000
"2017-07-24 23:00:00",100.0000
"2017-07-25 23:00:00",100.0000
"2017-07-26 23:00:00",100.0000
"2017-07-27 23:00:00",100.0000
"2017-07-28 23:00:00",100.0000
"2017-07-29 23:00:00",100.0000
"2017-07-30 23:00:00",100.0000
"2017-07-31 23:00:00",100.0000
"2017-08-01 23:00:00",100.0000
"2017-08-02 23:00:00",100.0000
"2017-08-03 23:00:00",100.0000
"2017-08-04 23:00:00",100.0000
"2017-08-05 23:00:00",100.0000
"2017-08-06 23:00:00",100.0000
"2017-08-07 23:00:00",100.0000
"2017-08-08 23:00:00",100.0000
"2017-08-09 23:00:00",100.0000
"2017-08-10 23:00:00",100.0000
"2017-08-11 23:00:00",100.0000
"2017-08-12 23:00:00",100.0000
"2017-08-13 23:00:00",100.0000
"2017-08-14 23:00:00",100.0000
"2017-08-15 23:00:00",100.0000
"2017-08-16 23:00:00",100.0000
"2017-08-17 23:00:00",100.0000
"2017-08-18 23:00:00",100.0000
"2017-08-19 03:00:00",100.0000
"2017-08-19 23:00:00",100.0000
"2017-08-20 23:00:00",100.0000
"2017-08-21 23:00:00",100.0000
